year,qtr,area_code,area_title,annual_avg_estabs_count,annual_avg_emplvl,total_annual_wages,annual_avg_wkly_wage,avg_annual_pay
1995,A,FRD99,Unknown -- Federal Reserve District,190094,1645388,105302677443,1231,63999
1995,A,USDPV,Total U.S.,7078264,116392018,3286884967888,543,28240
1996,A,FRD01,Boston -- Federal Reserve District,360674,5835641,183003043277,603,31360
1996,A,FRD02,New York -- Federal Reserve District,732414,11572859,410828739080,683,35499
1996,A,FRD03,Philadelphia -- Federal Reserve District,275870,5064209,150618733685,572,29742
1996,A,FRD04,Cleveland -- Federal Reserve District,386617,7231252,197981999970,527,27379
1996,A,FRD05,Richmond -- Federal Reserve District,627400,11371872,314174674516,531,27627
1996,A,FRD06,Atlanta -- Federal Reserve District,879600,14972850,386466952595,496,25811
1996,A,FRD07,Chicago -- Federal Reserve District,787218,14852402,441188657304,571,29705
1996,A,FRD08,St. Louis -- Federal Reserve District,328123,5614528,137906165683,472,24562
1996,A,FRD09,Minneapolis -- Federal Reserve District,246482,3738492,97599847121,502,26107
1996,A,FRD10,Kansas City -- Federal Reserve District,423687,6589199,167699678146,489,25451
1996,A,FRD11,Dallas -- Federal Reserve District,469676,8586093,237692989709,532,27683
1996,A,FRD12,San Francisco -- Federal Reserve District,1489492,21686392,648035337595,575,29882
1996,A,FRD99,Unknown -- Federal Reserve District,213178,1714546,58644798797,658,34204
1996,A,USDPV,Total U.S.,7220432,118830334,3431841617478,555,28880
1997,A,FRD01,Boston -- Federal Reserve District,368987,5963818,196439130112,633,32938
1997,A,FRD02,New York -- Federal Reserve District,742921,11752004,442624190655,724,37664
1997,A,FRD03,Philadelphia -- Federal Reserve District,284127,5168359,159923729937,595,30943
1997,A,FRD04,Cleveland -- Federal Reserve District,393947,7359182,210634096155,550,28622
1997,A,FRD05,Richmond -- Federal Reserve District,645319,11684965,339187403197,558,29028
1997,A,FRD06,Atlanta -- Federal Reserve District,908278,15375359,414965964245,519,26989
1997,A,FRD07,Chicago -- Federal Reserve District,802446,15230938,526056815801,664,34539
1997,A,FRD08,St. Louis -- Federal Reserve District,332362,5721558,147982737219,497,25864
